=== PAGE 1 (total=80) ===
e00294 | 주계약((간편)신한통합건강보장보험 원(ONE) | # 청약서 | score=0.0661
c04342 | (간편)중증질환자[심장질환]산정특례대상보장특약 | 제2-1조의3 "중증질환자[심장질환]산정특례대상"의 정의 | score=0.0145
e01159 | (간편)정기특약 | 제2-9조 특약의 소멸 | score=0.0143
e25181 | (간편)중증질환자[뇌혈관질환]산정특례대상보장특약 | 제2-9조 특약의 소멸 | score=0.0139
e02405 | (간편)[50%이상장해형]질병장해특약 | 제2-9조 특약의 소멸 | score=0.0135
c03576 | (간편)[21대다빈도생활질병]신수술특약 | 제2-1조의2 특약의 보험기간 및 갱신 | score=0.0133
e01084 | (간편)정기특약 | 제2-1조의2 특약의 보험기간 및 갱신 | score=0.0133
e30332 | (간편)[소액암진단형]보험료납입보조특약 | 제10조 보험료의 납입 및 특약의 보장개시 | score=0.0132
e08776 | (간편)표적항암약물허가치료특약 | 제2-9조 특약의 소멸 | score=0.013
c01691 | (간편)급여암특정재활치료특약 | 제2-1조 특약의 보장개시 | score=0.013
e25970 | (간편)중증질환자[암]산정특례대상보장특약 | 제2-1조 특약의 보장개시 | score=0.0128
e18266 | (간편)1-5종단일금액보장수술특약 | 제2-9조 특약의 소멸 | score=0.0127
e26383 | (간편)중증질환자[암]산정특례대상보장특약 | 제2-1조 특약의 보장개시 | score=0.0125
e26617 | (간편)중증질환자[암]산정특례대상보장특약 | 제2-1조 특약의 보장개시 | score=0.0123
c05002 | (간편)[뇌혈관질환납입면제형]보험료납입면제특약 | 제2-5조의2 "보험금 등의 지급절차"에 대한 특칙 | score=0.0123
c00001 |  |  | score=0.0122
=== PAGE 2 (total=80) ===
e09813 | (간편)급여암특정통증완화치료특약 | 제2-9조 특약의 소멸 | score=0.0122
e01007 | (간편)정기특약 | 제2-9조 특약의 소멸 | score=0.012
e01603 | (간편)[50%이상장해형]재해장해특약 | 제2-9조 특약의 소멸 | score=0.0119
c01571 | (간편)카티(CAR-T)항암약물허가치료특약 | 제2-1조의2 특약의 보험기간 및 갱신 | score=0.0119
e00638 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제29조 계약자의 임의해지 및 피보험자의 서면동의 철회권 | score=0.0118
e10715 | (간편)암직접치료입원특약 | 제2-9조 특약의 소멸 | score=0.0116
c04419 | (간편)중증화상산정특례대상보장특약 | 제2-8조의2 법령 등의 개정에 따른 특약내용의 변경 | score=0.0116
e04916 | (간편)[기본]일반암진단특약 | 제2-9조 특약의 소멸 | score=0.0115
e05355 | (간편)[기본]소액암진단특약 | 제2-9조 특약의 소멸 | score=0.0114
e01288 | (간편)재해사망특약 | 제2-9조 특약의 소멸 | score=0.0112
c01017 | (간편)[기본]남녀특정암진단특약 | 제2-1조의2 특약의 보험기간 및 갱신 | score=0.0111
e30628 | (간편)[소액암진단형]보험료납입보조특약 | 제5조 특약의 소멸 | score=0.0111
e20626 | (간편)재해수술특약 | 제2-9조 특약의 소멸 | score=0.011
c04728 | (간편)[50%장해납입면제형]보험료납입면제특약 | 제2-5조의2 "보험금 등의 지급절차"에 대한 특칙 | score=0.011
c00162 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제15조 사기에 의한 계약 | score=0.0109
e07364 | (간편)암주요치료비특약 | 제2-9조 특약의 소멸 | score=0.0109
e02635 | (간편)[50%이상장해형]6대질병장해특약 | 제2-9조 특약의 소멸 | score=0.0108
c03431 | (간편)[질병별]신수술특약 | 제2-3조 보험금 지급에 관한 세부규정 | score=0.0108
c04495 | (간편)중증질환자[암]산정특례대상보장특약 | 제2-1조의2 특약의 보험기간 및 갱신 | score=0.0106
e30124 | (간편)[소액암진단형]보험료납입보조특약 | 제9조 특약의 소멸 | score=0.0106
e16046 | (간편)급여뇌심장질환특정검사지원특약 | 제2-9조 특약의 소멸 | score=0.0105
c04178 | (간편)3대질병간병인사용입원특약 | 제2-8조의2 법령 등의 개정에 따른 특약내용의 변경 | score=0.0105
c04841 | (간편)[허혈심장질환납입면제형]보험료납입면제특약 | 제2-8조 특약내용의 변경 등 | score=0.0104
e30209 | (간편)[소액암진단형]보험료납입보조특약 | 제9조 특약의 소멸 | score=0.0104
e30517 | (간편)[소액암진단형]보험료납입보조특약 | 제5조 특약의 소멸 | score=0.0103
e05777 | (간편)[기본]남녀특정암진단특약 | 제2-9조 특약의 소멸 | score=0.0102
c04599 | (간편)중증질환자[암]산정특례대상보장특약 | 제2-1조의4 보장계약 등의 정의 | score=0.0102
e16380 | (간편)급여뇌심장질환특정검사지원특약 | 제2-9조 특약의 소멸 | score=0.0101
c04940 | (간편)[일반암납입면제형]보험료납입면제특약 | 제2-5조의2 "보험금 등의 지급절차"에 대한 특칙 | score=0.0101
c04563 | (간편)중증질환자[암]산정특례대상보장특약 | 제2-1조의2 특약의 보험기간 및 갱신 | score=0.01
e30316 | (간편)[소액암진단형]보험료납입보조특약 | 제9조 특약의 소멸 | score=0.01
c02192 | (간편)[삭감없음용]뇌혈관질환진단특약 | 제2-1조의2 특약의 보험기간 및 갱신 | score=0.0099
e27018 | (간편)깁스치료특약 | 제2-9조 특약의 소멸 | score=0.0099
e16541 | (간편)급여뇌심장질환특정검사지원특약 | 제2-9조 특약의 소멸 | score=0.0098
e13313 | (간편)급성심근경색증진단특약 | 제2-9조 특약의 소멸 | score=0.0097
c05145 | (간편)[소액암진단형]보험료납입보조특약 | 제2-1조의2 특약의 보험기간 및 갱신 | score=0.0097
e07029 | (간편)암치료통합보장특약 | 제2-9조 특약의 소멸 | score=0.0096
c04911 | (간편)[50%장해납입면제형]보험료납입면제특약 | 제2-10조 계약자의 임의해지 | score=0.0096
e06208 | (간편)일반암생활비보장특약 | 제2-9조 특약의 소멸 | score=0.0095
c04818 | (간편)[뇌혈관질환납입면제형]보험료납입면제특약 | 제1-6조(보험금 등의 지급절차) 제1항에 따라 보험료를 납입면제 할 때 | score=0.0094
