total: 80 page: 1
e18014 | (간편)1-5종수술특약 | 제2-12조 주계약 약관 규정의 준용 | 1~5종 수술분류표 별첨2 [표 24] 참조 _____________________________________________________________ _____________
e18800 | (간편)[질병별]신수술특약 | 제2-12조 주계약 약관 규정의 준용 | ※ 이 약관에서 "급여수술"이라 함은 각 보장계약별 보험금 지급사유에 해당하는 질병 및 재해["3대질병", "14대질병", "17대심한상해", "10대양성종양및26대생활질병"]의 
e18489 | (간편)[기본]신수술특약 | 제2-12조 주계약 약관 규정의 준용 | ※ 이 약관에서 "급여수술"이라 함은 의사에 의하여 "수술보장대상 질병 또는 재해"의 직접적인 치료를 목적으로 필요하다고 인정된 경우로서 의료기관에서 의사의 관리하에 "신수술 분류
e00076 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | $$ \left\{\begin{array}{l}2 x+1=3 y+1\\ 3 x+1=4 y+1\end{array}\right. $$
e00200 | 주계약((간편)신한통합건강보장보험 원(ONE) | # 보장한도 연간 1회한 | (1.10) (1.10)
e00561 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제20조 계약내용의 변경 등 | 1. 보험료의 납입방법
e18209 | (간편)1-5종단일금액보장수술특약 | 제2-1조의3 "수술"의 정의와 장소 | 이 특약에 있어서 "수술"이라 함은 의사에 의하여 질병 또는 재해로 인한 직접적인 치료를 목적으로 필요하다고 인정된 경우로서 의료기관에서 의사의 관리 하에 "1~5종 수술분류표(<
e17907 | (간편)1-5종수술특약 | 제2-1조의3 "수술"의 정의와 장소 | 이 특약에 있어서 "수술"이라 함은 의사에 의하여 질병 또는 재해로 인한 직접적인 치료를 목적으로 필요하다고 인정된 경우로서 의료기관에서 의사의 관리 하에 "1~5종 수술분류표(<
e00065 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | $$ \text{由 } \left\{\begin{array}{l} 1+\frac{1}{2} x^{2}=1\\ 2 x^{2}-1=0\end{array}\right. $$
e00195 | 주계약((간편)신한통합건강보장보험 원(ONE) | # 보장한도 | <table border="1" cellspacing="0">
e17747 | (간편)1-5종수술특약 | 제2-3조 보험금 지급에 관한 세부규정 | 다. 다만, 주계약의 보험료 납입면제가 "보험료의 납입을 면제하는 특약"에 의해 납입면제가 된 경우 그 "보험료의 납입을 면제하는 특약"의 약관에서 정한 바를 따르며, 이 특약이 
e31756 | (간편)[소액암진단형]보험료납입보조특약 |  | [별첨2] 표 24. 1~5종 수술분류표
e00002 |  |  | (간편)신한통합건강보장보험원(ONE)
e19651 | (간편)[질병별]신수술특약 | 제2-7조 보험수익자의 지정 | |제3관 | 특약의 성립과 유지| | ---| ---| |제2-8조 | 특약내용의 변경 등| |제2-8조의2 | "보험료의 납입을 연체하여 해지된 특약의 부활(효력회복)"에 대한 
e19023 | (간편)[난이도별]신수술특약 | 제2-12조 주계약 약관 규정의 준용 | ※ 이 약관에서 "급여수술"이라 함은 의사에 의하여 "수술보장대상 질병 또는 재해"의 직접적인 치료를 목적으로 필요하다고 인정된 경우로서 의료기관에서 의사의 관리하에 "수술방법별 
e19409 | (간편)[21대다빈도생활질병]신수술특약 | 제2-12조 주계약 약관 규정의 준용 | 3. 이 약관에서 "급여수술"이라 함은 의사에 의하여 "21대다빈도생활질병"의 직접적인 치료를 목적으로 필요하다고 인정된 경우로서 의료기관에서 의사 의 관리하에 "신수술 분류표"(
e00222 | 주계약((간편)신한통합건강보장보험 원(ONE) | ## 재해・상해 | 수술분류표를 사용하는 보험은 동 분류표에 기재되어 있는 수술만을 지급대상으로 합니다.
e29251 | (간편)[허혈심장질환납입면제형]보험료납입면제특약 | 제2-12조 주계약 약관 규정의 준용 | [부표2-3] 신수술 분류표 $ \underline{ \text{The first column of the table is: }} $
c03093 | (간편)1-5종수술특약 | 제2-6조 보험금 받는 방법의 변경 | 
e17919 | (간편)1-5종수술특약 | 제2-2조 보험금의 지급사유 | 회사는 특약보험기간 중 피보험자가 질병 또는 재해로 인한 그 직접적인 치료를 목적으로 "1~5종 수술분류표"(<부표2-2> 참조)에서 정하는 수술을 받았을 때 보험수익자에게 약정한
e17745 | (간편)1-5종수술특약 | 제2-2조 보험금의 지급사유 | 회사는 특약보험기간 중 피보험자가 질병 또는 재해로 인한 그 직접적인 치료를 목적으로 "1~5종 수술분류표"(<부표2-2> 참조)에서 정하는 수술을 받았을 때 보험수익자에게 약정한
e18214 | (간편)1-5종단일금액보장수술특약 | 제2-2조 보험금의 지급사유 | 회사는 특약보험기간 중 피보험자가 질병 또는 재해로 인한 그 직접적인 치료를 목적으로 "1~5종 수술분류표"(<부표2-2> 참조)에서 정하는 수술을 받았을 때 보험수익자에게 약정한
e18061 | (간편)1-5종단일금액보장수술특약 | 제2-2조 보험금의 지급사유 | 회사는 특약보험기간 중 피보험자가 질병 또는 재해로 인한 그 직접적인 치료를 목적으로 "1~5종 수술분류표"(<부표2-2> 참조)에서 정하는 수술을 받았을 때 보험수익자에게 약정한
e29818 | (간편)[급여입원수술형]보험료납입보조특약 | 제2-12조 주계약 약관 규정의 준용 | 급여수술”이라 함은 의사에 의하여 피보험자의 “수술보장대상 질병 또는 재해”로 인한 직접적인 치료를 목적으로 필요하다고 인정된 경우로서 의료기관에서 의사의 관리하에 “신수술 분류표
e19922 | (간편)[질병별]신수술특약 | 제2-12조 주계약 약관 규정의 준용 | 약이 해지, 무효, 취소 또는 철회된 경우」 이 특약은 그때부터 효력이 없습니다. 다만, 특약 보험기간 중 피보험자가 사망한 경우에는 산출방법서에서 정하는 바에 따라 회사가 적립한
c03118 | (간편)1-5종수술특약 |  | 
