total 80
e00220 | 주계약((간편)신한통합건강보장보험 원(ONE) | ## 재해・상해 | 수술 | score 0.0426813
e28398 | (간편)[50%장해납입면제형]보험료납입면제특약 | 제2-8조 특약내용의 변경 등 | 로 회사가 지급해야 할 계약자적립액이 있을 경우 또는 「제2호 및 제3호의 사유」로 회사가 | score 0.0255217
e00168 | 주계약((간편)신한통합건강보장보험 원(ONE) | ## 熊熊 | ## 熊熊 | score 0.0251662
e29168 | (간편)[허혈심장질환납입면제형]보험료납입면제특약 | 제2-8조 특약내용의 변경 등 |  회사가 지급해야 할 계약 자적립액이 있을 경우 또는 「제2호 및 제3호의 사유」로 회사가 | score 0.0250078
e00002 |  |  | (간편)신한통합건강보장보험원(ONE) | score 0.023362
e00195 | 주계약((간편)신한통합건강보장보험 원(ONE) | # 보장한도 | <table border="1" cellspacing="0"> | score 0.0220019
e00182 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | $\begin{array}{l} \text{The } 1 \text{st term of t | score 0.0219039
e00180 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | $\square$ | score 0.0217569
e00071 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | $$ 12 $$ | score 0.0216291
c02051 | (간편)암직접치료통원특약 | 제2-12조 주계약 약관 규정의 준용 |  | score 0.0213959
e00074 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | $$ \left\{\begin{array}{l}2 x+1=3 y+1\\ 3 x+2 y=4\ | score 0.0199607
c02774 | (간편)급여주요뇌심장질환특정재활치료특약 | 제2-12조 주계약 약관 규정의 준용 |  | score 0.0175076
c04019 | (간편)응급실내원(응급환자)특약 | 제2-12조 주계약 약관 규정의 준용 |  | score 0.0147059
c00148 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제4조 보험금 지급에 관한 세부규정 |  | score 0.0142857
c04003 | (간편)응급실내원(응급환자)특약 | 제2-3조 보험금 지급에 관한 세부규정 |  | score 0.0138889
c04298 | (간편)간병인사용입원특약 | 제2-12조 주계약 약관 규정의 준용 |  | score 0.0135135
c02701 | (간편)뇌혈관·허혈심장질환상급종합병원통원특약 | 제2-12조 주계약 약관 규정의 준용 |  | score 0.0131579
e00331 | 주계약((간편)신한통합건강보장보험 원(ONE) | ## 계약자적립액 | (간편)신한통합건강보장보험 원(ONE) | score 0.0128205
e00172 | 주계약((간편)신한통합건강보장보험 원(ONE) | # 감액지급 | # 감액지급 | score 0.0126582
e00698 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제40조 회사의 손해배상책임 | 제40조 회사의 손해배상책임 | score 0.0125
e00314 | 주계약((간편)신한통합건강보장보험 원(ONE) | # 청약서 | < 예시 > | score 0.0117647
e00081 | 주계약((간편)신한통합건강보장보험 원(ONE) |  | $$ 1 7 $$ | score 0.0116279
c02513 | (간편)혈전용해치료특약 | 제2-12조 주계약 약관 규정의 준용 |  | score 0.0116279
e00204 | 주계약((간편)신한통합건강보장보험 원(ONE) | # 보장한도 연간 1회한 | (무배당) | score 0.0114943
c00157 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제13조 계약 전 알릴 의무 |  | score 0.0113636
e00477 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제12조 대표자의 지정 | ③ 계약자가 2명 이상인 경우에는 계약자로서의 책임을 연대로 합니다. | score 0.011236
e00403 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제2관 보험금의 지급 | 제2관 보험금의 지급 | score 0.010989
c00151 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제8조 보험금 등의 지급절차 |  | score 0.010989
e00592 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제5관 보험료의 납입 | 제5관 보험료의 납입 | score 0.0108696
e00761 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제5관 보험료의 납입 | 제5관 보험료의 납입 | score 0.0107527
c01085 | (간편)일반암생활비보장특약 | 제2-12조 주계약 약관 규정의 준용 |  | score 0.0107527
e00852 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제5관 보험료의 납입 | 제5관 보험료의 납입 | score 0.0106383
e00746 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제1편 일반사항 | 제1편 일반사항 | score 0.0105263
e00768 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제1편 일반사항 | 제1편 일반사항 | score 0.0104167
c02721 | (간편)뇌혈관·허혈심장질환주요치료비특약 | 제2-2조 보험금의 지급사유 |  | score 0.0104167
c00204 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제43조 예금보험에 의한 지급보장 |  | score 0.0103093
e00679 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제7관 분쟁의 조정 등 | 제7관 분쟁의 조정 등 | score 0.0102041
e00573 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제20조 계약내용의 변경 등 | [ 감액 ] | score 0.010101
c02385 | (간편)특정순환계질환진단특약 | 제2-3조 보험금 지급에 관한 세부규정 |  | score 0.010101
e00584 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제21조 보험나이 등 | 제21조 보험나이 등 | score 0.01
e00758 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제4관 특약의 성립과 유지 | 제4관 특약의 성립과 유지 | score 0.009901
c02105 | (간편)뇌전증진단특약 | 제2-3조 보험금 지급에 관한 세부규정 |  | score 0.009901
e00838 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제4관 특약의 성립과 유지 | 제4관 특약의 성립과 유지 | score 0.0098039
e00504 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제4관 보험계약의 성립과 유지 | 제4관 보험계약의 성립과 유지 | score 0.0096154
c00164 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제16조 보험계약의 성립 |  | score 0.0096154
e00363 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제1관 목적 및 용어의 정의 | 제1관 목적 및 용어의 정의 | score 0.0095238
c02095 | (간편)암직접치료상급종합병원통원특약 | 제2-12조 주계약 약관 규정의 준용 |  | score 0.0095238
e00480 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제3관 계약자의 계약 전 알릴 의무 등 | 제3관 계약자의 계약 전 알릴 의무 등 | score 0.009434
e00747 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제1관 목적 및 용어의 정의 | 제1관 목적 및 용어의 정의 | score 0.0093458
c01707 | (간편)급여암특정재활치료특약 | 제2-1조의7 "급여암특정재활치료(단순재활치료)"의 정의 |  | score 0.0093458
e00755 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제3관 계약자의 계약 전 알릴 의무 등 | 제3관 계약자의 계약 전 알릴 의무 등 | score 0.0092593
c03041 | (간편)대상포진·통풍진단특약 | 제2-12조 주계약 약관 규정의 준용 |  | score 0.0092593
e00769 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제1관 목적 및 용어의 정의 | 제1관 목적 및 용어의 정의 | score 0.0091743
e00812 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제3관 계약자의 계약 전 알릴 의무 등 | 제3관 계약자의 계약 전 알릴 의무 등 | score 0.0090909
c02682 | (간편)뇌혈관·허혈심장질환상급종합병원통원특약 | 제2-3조 보험금 지급에 관한 세부규정 |  | score 0.0090909
e00748 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제1-1조 목적 | 제1-1조 목적 | score 0.009009
e00770 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제1-1조 목적 | 제1-1조 목적 | score 0.0089286
c02009 | (간편)요양병원암입원특약 |  |  | score 0.0089286
e00708 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제42조 준거법 | 제42조 준거법 | score 0.0088496
e00393 | 주계약((간편)신한통합건강보장보험 원(ONE) | 제2조 용어의 정의 | 가. 보험기간 : 계약에 따라 보장을 받는 기간을 말합니다. | score 0.0087719
c05243 | (간편)[소액암진단형]보험료납입보조특약 | 제3조 면책(보장제한) 조건의 내용 |  | score 0.0087719
c02680 | (간편)뇌혈관·허혈심장질환상급종합병원통원특약 | 제2-2조 보험금의 지급사유 |  | score 0.0086957
c04232 | (간편)간병인사용입원특약 | 제2-12조 주계약 약관 규정의 준용 |  | score 0.0086207
